04/24/2014,Woodmont Baptist,St. Henry #8,2,20
04/24/2014,Jewish Community Center Team #1,Woodmont Baptist,20,6
04/24/2014,Jewish Community Center Team #2,Jewish Community Center Team #1,4,22
04/25/2014,St. Henry #2,St. Matthew,9,10
04/25/2014,St. Henry #2,Bellevue Presbyterian,24,4
04/25/2014,Calvary,Redeemer,8,12
05/01/2014,Jewish Community Center Team #1,Calvary,16,15
05/01/2014,Calvary,St. Henry #8,9,7
05/01/2014,Jewish Community Center Team #2,St. Henry #2,6,23
05/02/2014,St. Matthew,Bellevue Presbyterian,34,6
05/02/2014,Woodmont Baptist,St. Matthew,15,18
05/02/2014,Redeemer,Woodmont Baptist,28,12
05/08/2014,Jewish Community Center Team #1,St. Henry #8,17,5
05/08/2014,St. Henry #8,Bellevue Presbyterian,,
05/08/2014,Bellevue Presbyterian,Calvary,14,14
05/09/2014,St. Matthew,Jewish Community Center Team #2,7,6
05/09/2014,Jewish Community Center Team #2,Woodmont Baptist,13,14
05/09/2014,Redeemer,St. Henry #2,11,22
05/22/2014,St. Matthew,Calvary,,
05/22/2014,St. Henry #8,Redeemer,,
05/22/2014,Redeemer,Jewish Community Center Team #2,,
05/29/2014,Jewish Community Center Team #2,Bellevue Presbyterian,,
05/29/2014,Jewish Community Center Team #2,Calvary,,
05/29/2014,Woodmont Baptist,Calvary,,
05/30/2014,St. Henry #2,Jewish Community Center Team #1,,
05/30/2014,Jewish Community Center Team #1,Redeemer,,
05/30/2014,St. Henry #8,St. Matthew,,
06/05/2014,St. Matthew,Redeemer,,
06/05/2014,Redeemer,Bellevue Presbyterian,,
06/05/2014,Jewish Community Center Team #1,Bellevue Presbyterian,,
06/06/2014,St. Henry #2,Calvary,,
06/06/2014,St. Henry #2,Woodmont Baptist
06/06/2014,St. Henry #8,Jewish Community Center Team #2
06/12/2014,Bellevue Presbyterian,Woodmont Baptist
06/12/2014,St. Henry #2,St. Henry #8
06/12/2014,Jewish Community Center Team #1,St. Matthew
