date,away_team,home_team,away_team_runs,home_team_runs
04/24/14,Woodmont Baptist,St. Henry #8,2,20
04/24/14,Jewish Community Center Team #1,Woodmont Baptist,20,6
04/24/14,Jewish Community Center Team #2,Jewish Community Center Team #1,4,22
04/25/14,St. Henry #2,St. Matthew,9,10
04/25/14,St. Henry #2,Bellevue Presbyterian,24,4
04/25/14,Calvary,Redeemer,8,12
05/01/14,Jewish Community Center Team #1,Calvary,16,15
05/01/14,Calvary,St. Henry #8,9,7
05/01/14,Jewish Community Center Team #2,St. Henry #2,6,23
05/02/14,St. Matthew,Bellevue Presbyterian,34,6
05/02/14,Woodmont Baptist,St. Matthew,15,18
05/02/14,Redeemer,Woodmont Baptist,28,12
05/08/14,Jewish Community Center Team #1,St. Henry #8,17,5
05/08/14,St. Henry #8,Bellevue Presbyterian,,
05/08/14,Bellevue Presbyterian,Calvary,14,14
05/09/14,St. Matthew,Jewish Community Center Team #2,7,6
05/09/14,Jewish Community Center Team #2,Woodmont Baptist,13,14
05/09/14,Redeemer,St. Henry #2,11,22
05/22/14,St. Matthew,Calvary,,
05/22/14,St. Henry #8,Redeemer,,
05/22/14,Redeemer,Jewish Community Center Team #2,,
05/29/14,Jewish Community Center Team #2,Bellevue Presbyterian,,
05/29/14,Jewish Community Center Team #2,Calvary,,
05/29/14,Woodmont Baptist,Calvary,,
05/30/14,St. Henry #2,Jewish Community Center Team #1,,
05/30/14,Jewish Community Center Team #1,Redeemer,,
05/30/14,St. Henry #8,St. Matthew,,
06/05/14,St. Matthew,Redeemer,,
06/05/14,Redeemer,Bellevue Presbyterian,,
06/05/14,Jewish Community Center Team #1,Bellevue Presbyterian,,
06/06/14,St. Henry #2,Calvary,,
06/06/14,St. Henry #2,Woodmont Baptist
06/06/14,St. Henry #8,Jewish Community Center Team #2
06/12/14,Bellevue Presbyterian,Woodmont Baptist
06/12/14,St. Henry #2,St. Henry #8
06/12/14,Jewish Community Center Team #1,St. Matthew
